Kinase Uniprot ID	Kinase Name	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P21860	HER3	2.28523446705652	0.887195513180078	3.1724299802366	3.41116827440579	0.678848752615426	0.668406849346228	0.0488815246511602	45.2222222222222
P12931	Src	1.98053177135314	0.916361720365129	2.89689349171827	3.19654288435159	0.65000788376664	0.661393731860568	0.0505852789206002	41.1111111111111
Q16288	TRKC	2.16435055923929	0.97469413473523	3.13904469397452	2.97469413473523	0.909866485229577	0.916742906803153	0.0726438416720861	16.8888888888889
P54764	EphA4	1.7235451859665	0.97469413473523	2.69823932070173	2.8955128886876	1.28573678151546	1.29202523434153	0.0778613429158699	4.44444444444444
P29322	EphA8	1.87997779241541	0.97469413473523	2.85467192715064	2.83304352038345	1.34934198865477	1.38852167876574	0.185418871475744	4.125
P00519	Abl	1.75617313499384	0.858029305995027	2.61420244098886	2.67366413907125	0.602220838407616	0.623572187337912	0.0868059765461925	53.2222222222222
H0Y8A4	RYK	1.59606890628602	0.97469413473523	2.57076304102125	2.59448289302362	1.03173437720505	0.997941623924287	0.124259549025886	7.11111111111111
P51451	BLK	1.90028645289967	0.940793256059183	2.84107970895886	2.59448289302362	0.823584901913377	0.833496976342835	0.205537024474894	22.4444444444444
Q16620	TRKB	1.70178856377072	0.906892377383136	2.60868094115386	2.49757288001557	0.783585950019059	0.802079348752468	0.0387251751859383	19.4444444444444
Q9UM73	ALK	1.27496024563053	0.755325351485676	2.0302855971162	2.37263414340727	0.557571100691644	0.555593588096856	0.0499784682253253	44
P43405	Syk	1.45754907849469	0.799696891624926	2.25724597011962	2.26504023872755	0.503613396595004	0.499203201024536	0.0147910649235491	80
P29320	EphA3	1.30200018843613	0.97469413473523	2.27669432317136	2.20390451276194	1.00080100769067	1.00080100769067	0.115837293037893	4.5
P42684	Arg	1.65778008608802	0.799696891624926	2.45747697771294	2.15589576930249	0.600121444088079	0.552024126805428	0.111935748019868	50.7777777777778
P21709	EphA1	1.04652765925678	0.97469413473523	2.02122179399201	2.05716608387517	0.892368964546086	0.898760669094308	0.0416722468721637	5.16666666666667
Q9H3Y6	Srm	1.50801968369554	0.770530684439875	2.27855036813542	2.0494404383882	0.606647002970945	0.58657427581791	0.0751970122147145	44.3333333333333
Q15375	EphA7	1.05675463741376	0.97469413473523	2.03144877214899	2.03144877214899	1.10902988831659	1.10902988831659	0	3
P06213	InSR	1.00888226002806	0.945527927550179	1.95441018757824	2.00156628113553	0.609091233374927	0.619834906237888	0.0343666884253609	24
Q6ZMQ8	Lmr1	0.925565745712698	0.97469413473523	1.90025988044793	1.91023614550831	1.02675842879966	1.02675842879966	0	3
P14616	IRR	0.892139730213614	0.97469413473523	1.86683386494884	1.84758933637042	0.90852794196446	0.81689042140483	0.125479842810881	4.2
P06239	Lck	0.833517112316586	0.945527927550179	1.77904503986677	1.79285054679046	0.53705589723065	0.537945428657648	0.0648062777495609	30.3333333333333
P54756	EphA5	0.772927898132765	0.869695788869048	1.64262368700181	1.79285054679046	0.794935456590311	0.843324886664865	0.086784607812976	4.8
P08069	IGF1R	1.21687076682261	0.770530684439875	1.98740145126249	1.77769981882621	0.738788237155968	0.65886390027744	0.139788129457136	15.7777777777778
P42685	FRK	0.982155464914564	0.770530684439875	1.75268614935444	1.76771559791961	0.514261444369797	0.509468190090911	0.0191524615288796	53.2222222222222
P04629	TRKA	0.876893905398866	0.945527927550179	1.82242183294905	1.72918146692108	0.648001949249965	0.65375295517927	0.120293230790057	12.3333333333333
P07947	Yes	0.973973561256631	0.97469413473523	1.94866769599186	1.72918146692108	0.603670041189962	0.523579262176376	0.182040664122665	24.7777777777778
P07948	Lyn	0.804706522034215	0.881203462236879	1.68590998427109	1.71942162963192	0.543729315617859	0.561755881846044	0.0847359027782621	21.7777777777778
Q04912	Ron	0.884086601190842	0.828863098809977	1.71294970000082	1.70359809830786	0.801607949867382	0.748568074190692	0.131776646830535	7.22222222222222
Q05397	FAK1	1.04905130921667	0.741364477254825	1.7904157864715	1.70359809830786	0.538154049559681	0.521018960191459	0.0525839537502799	45.7777777777778
P08631	HCK	1.03222397840024	0.97469413473523	2.00691811313547	1.6780289444737	0.527515180486355	0.518379728717108	0.126715001026935	28.1111111111111
P06241	Fyn	0.681466448171213	0.97469413473523	1.65616058290644	1.57329359395369	0.546221213407666	0.518384000632775	0.0671337431300535	15.8888888888889
Q14289	FAK2	0.809225115795981	0.680371473825802	1.48959658962178	1.56921568153325	0.521943060382423	0.534996832771735	0.0503919565433211	36.6666666666667
P29376	LTK	0.883193668898133	0.685604003050736	1.56879767194887	1.52970714024957	0.644610802146347	0.642367519473017	0.0403097273027742	14.1111111111111
P43403	ZAP70	0.861723554556919	0.712198270069774	1.57392182462669	1.51354118311535	0.466926423607059	0.468038440990896	0.0267492589825503	70
